id;Tbf;Taf;raw.decrease;norm.decrease;normEBS.decrease;het.decrease;plateau_slope;maxfluo;well_pcr;sample;calib;pop;generation;ratio;plate_qpcr_id;competition;experiment_batch;setup;predicted_freq
plate2#L11;77.65;85.09;0.203143331709729;0.0827782447350371;0.151171352736441;0;0.00054093819887672;5.31739517550639;L11;G1-N19;NA;N19;1;NA;plate2;V8;DW;19;0.2288539339188
plate2#L14;76.91;84.56;1;1;1;0;0;5.42990746719039;L14;8-100%;calib;8-100%;NA;100%;plate2;V8;NA;NA;0.99734936375847
plate2#L17;77.65;85.15;0.242919388959951;0.114064771834044;NA;0;0.000556697290035255;5.57668019582082;L17;G3-Z23;NA;Z23;3;NA;plate2;V8;RA;23&24;NA
plate2#L20;77.44;85.09;0.240457507853152;0.106799052042965;0.186692844015524;0;0;6.70082556478081;L20;G3-Z22;NA;Z22;3;NA;plate2;V8;VFP;22;0.272552021062285
plate2#L22;77.4;85.15;0.23763554230665;0.108479378258069;0.172919613327586;0;0.00360978236782364;6.46013430710122;L22;G6-N22;NA;N22;6;NA;plate2;V8;VFP;22;0.255966713076631
plate2#L4;77.88;85.09;0.232875232663105;0.0982617120534524;0.167615338773436;0;0.00416569470496243;7.37003605627254;L4;G6-Z22;NA;Z22;6;NA;plate2;V8;VFP;22;0.249478553330041
plate2#L5;77.77;85.02;0.438880239008957;0.323513669271466;0.393624446777916;0;0;5.01831571160619;L5;8-50%;calib;8-50%;NA;50%;plate2;V8;NA;NA;0.479083187814543
plate2#M14;77.6;85.09;0.228405287599708;0.12053390528097;0.171532529532598;0;0.000584627012137651;5.29837742153919;M14;G3-N24;NA;N24;3;NA;plate2;V8;RA;23&24;0.254276414694077
plate2#M15;77.51;85.09;0.201166119072615;0.0914997359902486;0.145457487989515;0;0.00628922545079447;5.01092084731791;M15;G3-Z21;NA;Z21;3;NA;plate2;V8;VFP;21;0.221467950204559
plate2#M3;78.05;85.15;0.216988781362905;0.103332167611824;0.156320870505484;0;0.000562898743100459;7.29194842820762;M3;G3-N23;NA;N23;3;NA;plate2;V8;RA;23&24;0.235407224602291
plate2#M9;77.44;85.09;0.197570645003054;0.0860300045121685;0.148544099490109;0;0;4.38560539212852;M9;8-25%;calib;8-25%;NA;25%;plate2;V8;NA;NA;0.225473282214304
plate2#N1;78.05;85.09;0.22709667552282;0.103099120646117;0.175630550749637;0;0;8.20375890737058;N1;G3-Z23;NA;Z23;3;NA;plate2;V8;RA;23&24;0.259258344984776
plate2#N13;77.65;85.09;0.216902535640874;0.103353399016649;0.176436502413304;0;0;5.04538428270551;N13;G3-N20;NA;N20;3;NA;plate2;V8;DW;20;0.260234059588256
plate2#N15;77.65;85.15;0.175324968037767;0.0465413334789573;0.107753668928199;0;0;5.09571098664423;N15;G1-Z19;NA;Z19;1;NA;plate2;V8;DW;19;0.169629252016648
plate2#N16;77.51;85.15;0.183526048167369;0.0706188012687822;0.130051250217167;0;0;5.15768307645362;N16;G1-Z20;NA;Z20;1;NA;plate2;V8;DW;20;0.200917273581516
plate2#N21;77.51;85.37;0.220349480529689;0.0888963723102601;0.151359329668854;0;0;6.4632412829055;N21;G1-N22;NA;N22;1;NA;plate2;V8;VFP;22;0.229094829691301
plate2#N23;77.68;85.54;0.193499293255718;0.0702965839135048;0.136230674874392;0;0;5.86962824497291;N23;21;NA;21;0;NA;plate2;V8;VFP;21;0.209272089623705
plate2#N5;77.65;85.02;0.260473320214869;0.139397089303745;0.199359335064542;0;0;6.34322644167624;N5;G6-N19;NA;N19;6;NA;plate2;V8;DW;19;0.287555922104658
plate2#N8;78.87;85.47;0;0;0;0;0;4.85606802478607;N8;19;NA;19;0;NA;plate2;V8;DW;19;0.00244110267121868
plate2#O15;77.44;85.09;0.260886227300961;0.114716633790779;NA;0;0.00605147748145081;5.65046146790173;O15;G6-Z23;NA;Z23;6;NA;plate2;V8;RA;23&24;NA
plate2#O23;77.57;84.41;1;1;1;0;0.0040457966942146;5.86295624668786;O23;8-100%;calib;8-100%;NA;100%;plate2;V8;NA;NA;0.99734936375847
plate2#O24;77.34;85.09;0.483977828640328;0.347688511696201;0.453268101441094;0;0.00181033794507991;5.5290417945519;O24;8-50%;calib;8-50%;NA;50%;plate2;V8;NA;NA;0.51667470055792
plate2#O3;77.83;85.39;0.197150824404773;0.0698333505408145;0.134391072506611;0;0;8.11875382706696;O3;G1-N24;NA;N24;1;NA;plate2;V8;RA;23&24;0.206800245363791
plate2#O5;77.68;85.09;0.456722681217411;0.324612703801324;0.412989506973933;0;0.00559845897561805;7.63521563843255;O5;8-50%;calib;8-50%;NA;50%;plate2;V8;NA;NA;0.492398825811082
plate2#O7;77.6;85.09;0.191592028264355;0.0660461335920516;0.13589297457109;0;0;7.00192078709265;O7;G1-N20;NA;N20;1;NA;plate2;V8;DW;20;0.20881931770484
plate2#O9;78.75;85.47;0;0;0;0;0.00582068089267389;5.57972897069864;O9;20;NA;20;0;NA;plate2;V8;DW;20;0.00244110267121868
plate2#P17;77.13;85.02;0.247718503908104;0.10696431060368;0.174955680084612;0;0.0083085546675147;5.96723159280604;P17;G1-N23;NA;N23;1;NA;plate2;V8;RA;23&24;0.25844033191701
plate2#P22;77.19;85.41;0.246021290973372;0.109416476998452;NA;0;0.000557426549286213;6.16319099430313;P22;G3-N22;NA;N22;3;NA;plate2;V8;VFP;22;NA
