id;Tbf;Taf;raw.decrease;norm.decrease;normEBS.decrease;het.decrease;plateau_slope;maxfluo;well_pcr;sample;calib;pop;generation;ratio;plate_qpcr_id;competition;experiment_batch;setup;predicted_freq
plate1#C6;77.84;85.33;0.218112547080645;0.0892197826755838;0.161019484615927;0;0.0121007338119045;7.9033132658768;C6;G1-N21;NA;N21;1;NA;plate1;V8;VFP;21;0.227346263373944
plate1#C7;77.75;85.47;0.128969798289427;0.0255226950113769;0.0694460604763018;0;0;8.21176553892574;C7;20;NA;20;0;NA;plate1;V8;DW;20;0.0964702244371773
plate1#D18;77.75;85.41;0.214311981215115;0.0771246467304643;NA;0;0;7.40558718074249;D18;G1-N24;NA;N24;1;NA;plate1;V8;RA;23&24;NA
plate1#D4;77.92;85.33;0.21605959963675;0.1055734035542;NA;0;0;8.23818244869638;D4;G1-N22;NA;N22;1;NA;plate1;V8;VFP;22;NA
plate1#E10;77.84;85.21;0.207480775014835;0.0877982180998454;NA;0;0.00214415683149433;7.46830908051964;E10;21;NA;21;0;NA;plate1;V8;VFP;21;NA
plate1#E20;78.88;85.47;0.101327920543996;0.00726924645095308;0.0413323645053105;0;0;7.6838486188778;E20;19;NA;19;0;NA;plate1;V8;DW;19;0.0547031292894417
plate1#E5;77.81;85.3;0.234954608462821;0.105509108766832;0.170156520969918;0;0;8.58046698390495;E5;8-25%;calib;8-25%;NA;25%;plate1;V8;NA;NA;0.239176737579094
plate1#F14;77.75;85.27;0.213995844097099;0.0714258351511333;0.152096828221467;0;0.000812813613050814;6.68821695359487;F14;22;NA;22;0;NA;plate1;V8;VFP;22;0.215511053095947
plate1#F4;77.88;85.21;0.214045906848366;0.0791587814340582;0.148899362565391;0;0.00130940351662471;9.58579590980287;F4;G1-Z24;NA;Z24;1;NA;plate1;V8;RA;23&24;0.21120102925399
plate1#F9;77.67;85.27;0.24570831205815;0.125403538248414;0.186292710345427;0;0;7.30447203350535;F9;8-25%;calib;8-25%;NA;25%;plate1;V8;NA;NA;0.259449681425317
plate1#G19;78.01;84.36;1;1;1;0;0;8.12524724334071;G19;8-100%;calib;8-100%;NA;100%;plate1;V8;NA;NA;0.995889640434966
plate1#G23;77.1;85.8;0.0899675385039191;0.00925255329009323;0.0376765547626312;0;0.00235835272032426;8.07367328628153;G23;8-0%;calib;8-0%;NA;0%;plate1;V8;NA;NA;0.0493172929756043
plate1#G24;77.64;85.41;0.215011414309982;0.0923194738046956;0.159132960353583;0;0.00912363775665191;7.9251459749036;G24;23&24;NA;23&24;0;NA;plate1;V8;RA;23&24;0.224867667060052
plate1#H10;77.64;85.21;0.222415291614519;0.100017811898557;0.16090613229738;0;0;7.07952457823034;H10;G1-Z23;NA;Z23;1;NA;plate1;V8;RA;23&24;0.227197693289892
plate1#H12;77.58;84.94;0.468210841535998;0.335438701254216;0.423178717113436;0;0.00627312710030591;6.9679845644054;H12;8-50%;calib;8-50%;NA;50%;plate1;V8;NA;NA;0.488937851264578
plate1#H24;77.57;85.47;0.213260850574384;0.0992418017771711;0.157801007526672;0;0.000967811280115148;7.16117952151932;H24;G1-Z20;NA;Z20;1;NA;plate1;V8;DW;20;0.223110056546209
plate1#H6;77.81;85.41;0.199235652079873;0.0685908889426197;0.135477623904383;0;0.00187838044758223;7.04617129177676;H6;G1-Z19;NA;Z19;1;NA;plate1;V8;DW;19;0.19274691397379
plate1#H7;77.38;85.33;0.22885274927634;0.0895968215726442;0.167814625449031;0;0;7.14610660403971;H7;G1-Z21;NA;Z21;1;NA;plate1;V8;VFP;21;0.236171130627864
plate1#I1;77.72;85.41;0.221780608345109;0.0909442342100738;NA;0;0;7.92291785855886;I1;G1-N24;NA;N24;1;NA;plate1;V8;RA;23&24;NA
plate1#I14;77.84;85.3;0.178969609018219;0.0732048230510639;0.116109764744924;0;0;6.82729784439357;I14;G1-Z19;NA;Z19;1;NA;plate1;V8;DW;19;0.165245684900259
plate1#I16;77.51;84.97;0.235151112239612;0.107983069708827;0.173811261078535;0;0;7.58141132382238;I16;G1-N23;NA;N23;1;NA;plate1;V8;RA;23&24;0.243832600445353
plate1#I20;77.14;85.41;0.240237126238067;0.0807118495470523;0.167639497479404;0;0;7.34692118881219;I20;G1-Z21;NA;Z21;1;NA;plate1;V8;VFP;21;0.235945651801538
plate1#I24;77.2;85.47;0.220795049592295;0.107270702053719;0.17843149409136;NA;0.00446310308454944;7.66591157451474;I24;G1-Z22;NA;Z22;1;NA;plate1;V8;VFP;22;0.24966175965129
plate1#I5;77.26;85.39;0.22179004276284;0.0929619911468093;0.186393469296416;0;0.0091077257759627;7.4859788641674;I5;23&24;NA;23&24;0;NA;plate1;V8;RA;23&24;0.259574166022027
plate1#I8;78.79;85.47;0.0850496794802948;0.0163995177808448;0.0391537366190759;0;0;7.38746950890447;I8;19;NA;19;0;NA;plate1;V8;DW;19;0.0514915761338065
plate1#I9;78.04;85.27;0.241846646766659;0.130432201659681;0.18117014487628;0;0;7.30656400072563;I9;G1-N23;NA;N23;1;NA;plate1;V8;RA;23&24;0.253089260635473
plate1#J1;77.58;85.41;0.225432724954814;0.0981396703922799;0.17971603281338;0;0.000809762374918522;8.35795998134807;J1;G1-N21;NA;N21;1;NA;plate1;V8;VFP;21;0.251271862638866
plate1#J10;77.38;85.3;0.250837152822645;0.127783859329078;0.184984988728653;0;0;6.90219135354903;J10;8-25%;calib;8-25%;NA;25%;plate1;V8;NA;NA;0.25783191263005
